name,ROI_优化模型,ROI_直接计算,j,k,差异,相对差异(%)
武隆区,0.0148694381406025,0.014869438140602542,2,1,-4.163336342344337e-17,-2.799928486185309e-13
开州区,0.0223953369172659,0.022395336917265973,2,1,-7.28583859910259e-17,-3.2532837643918093e-13
同仁市,0.0133478899507581,0.013347889950758118,2,1,-1.734723475976807e-17,-1.299623747555905e-13
湟源县,0.014876852082601,0.014876852082601033,2,1,-3.2959746043559335e-17,-2.2155053945926397e-13
桑珠孜区,0.0249332848660231,0.02493328486602313,0,0,-3.122502256758253e-17,-1.2523429117088868e-13
大通回族土族自治县,0.0137123578316115,0.013712357831611576,2,1,-7.632783294297951e-17,-5.566353641021408e-13
碧江区,0.0073953441961601,0.007395344196160158,2,1,-5.811323644522304e-17,-7.858084073408894e-13
万山区,0.0081995661121214,0.00819956611212146,2,1,-5.898059818321144e-17,-7.193136487553911e-13
旬阳市,0.0139939475371413,0.013993947537141328,2,1,-2.7755575615628914e-17,-1.9833985758459403e-13
墨玉县,0.01486762941894,0.014867629418940098,0,0,-9.8879238130678e-17,-6.650639139869484e-13
皮山县,0.0173275763966663,0.017327576396666385,0,0,-8.326672684688674e-17,-4.805445663070702e-13
洛浦县,0.0140684480959562,0.014068448095956221,2,1,-2.0816681711721685e-17,-1.479671501059534e-13
策勒县,0.0159233036478744,0.01592330364787441,0,0,-1.0408340855860843e-17,-6.5365461125589e-14
湟中区,0.0130285459827053,0.013028545982705364,2,1,-6.418476861114186e-17,-4.926472124851339e-13
于田县,0.0172663193646209,0.017266319364620947,0,0,-4.5102810375396984e-17,-2.6121844165476053e-13
民丰县,0.0220365442425676,0.022036544242567603,0,0,-3.469446951953614e-18,-1.5744060927900595e-14
阜城县,0.0422678562012776,0.04226785620127767,2,1,-6.938893903907228e-17,-1.641647939480186e-13
谢通门县,0.0224815927362114,0.0224815927362114,0,0,0.0,0.0
昭化区,0.0210415553008692,0.021041555300869264,2,1,-6.245004513516506e-17,-2.967938645323672e-13
白朗县,0.0241598488912732,0.02415984889127324,0,0,-4.163336342344337e-17,-1.7232460190792717e-13
朝天区,0.0233002826039148,0.023300282603914823,2,1,-2.42861286636753e-17,-1.042310476508763e-13
仁布县,0.0211413128092721,0.0211413128092721,0,0,0.0,0.0
定日县,0.0235733577085401,0.023573357708540122,0,0,-2.0816681711721685e-17,-8.830596798766706e-14
萨迦县,0.0247903569435296,0.02479035694352963,0,0,-2.7755575615628914e-17,-1.1196117780334428e-13
拉孜县,0.0248844600245144,0.02488446002451445,0,0,-4.85722573273506e-17,-1.9519112441861534e-13
昂仁县,0.0253467931133554,0.02534679311335545,0,0,-4.85722573273506e-17,-1.9163077991810114e-13
饶阳县,0.0421640367353697,0.04216403673536971,2,1,-1.3877787807814457e-17,-3.291380257282847e-14
南木林县,0.0207167917958653,0.020716791795865386,0,0,-8.673617379884035e-17,-4.1867570352351075e-13
武强县,0.0420866712079134,0.04208667120791341,2,1,-6.938893903907228e-18,-1.648715306950323e-14
江孜县,0.0233815471477978,0.023381547147797818,0,0,-1.734723475976807e-17,-7.419198845189299e-14
武邑县,0.0417447016561561,0.041744701656156194,2,1,-9.71445146547012e-17,-2.3271100475184505e-13
和田县,0.0278381370960886,0.027838137096088667,0,0,-6.591949208711867e-17,-2.3679562989285134e-13
蒲城县,0.0264000512068655,0.026400051206865525,2,1,-2.42861286636753e-17,-9.199273317075808e-14
白水县,0.0284647706945533,0.028464770694553377,2,1,-7.632783294297951e-17,-2.6814842024209435e-13
合阳县,0.0282975797320747,0.028297579732074796,2,1,-9.71445146547012e-17,-3.432961955562215e-13
澄城县,0.028767799949954,0.028767799949954063,2,1,-6.245004513516506e-17,-2.170831458916092e-13
江口县,0.0060865409116313,0.006086540911631311,2,1,-1.1275702593849246e-17,-1.85256334551231e-13
玉屏侗族自治县,0.0082175707542075,0.008217570754207537,2,1,-3.642919299551295e-17,-4.4330854074923024e-13
